UNOFFICIAL ELECTION RESULTS
LATAH
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Kendrick 24","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","198","0.00%"
"Kendrick 24","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","109","0.00%"
"Kendrick 24","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","74","0.00%"
"Kendrick 24","Proposition 1","NO, make no change to the current primary and general election voting system.","241","0.00%"
"Kendrick 24","Kendrick Jt Sd No. 283 School District Levy (Combine Results with Nez Perce and Clearwater County)","IN FAVOR OF","199","0.00%"
"Kendrick 24","Kendrick Jt Sd No. 283 School District Levy (Combine Results with Nez Perce and Clearwater County)","AGAINST","108","0.00%"
"Linden 25","United States President","Joel Skousen","0","0.00%"
"Linden 25","United States President","Kamala D. Harris","0","0.00%"
"Linden 25","United States President","Chase Oliver","0","0.00%"
"Linden 25","United States President","Donald J. Trump","3","0.00%"
"Linden 25","United States President","Shiva Ayyadurai","0","0.00%"
"Linden 25","United States President","Claudia De la Cruz","0","0.00%"
"Linden 25","United States President","Robert F Kennedy Jr.","0","0.00%"
"Linden 25","United States President","Jill Stein","0","0.00%"
"Linden 25","United States President","Randall Terry","0","0.00%"
"Linden 25","United States Representative District 1","Brendan J. Gomez","0","0.00%"
"Linden 25","United States Representative District 1","Kaylee Peterson","0","0.00%"
"Linden 25","United States Representative District 1","Matt Loesby","0","0.00%"
"Linden 25","United States Representative District 1","Russ Fulcher","3","0.00%"
"Linden 25","State Senator District 6","Julia Parker","0","0.00%"
"Linden 25","State Senator District 6","Dan Foreman","3","0.00%"
"Linden 25","State Representative District 6 Seat A","Trish Carter-Goodheart","0","0.00%"
"Linden 25","State Representative District 6 Seat A","Lori McCann","3","0.00%"
"Linden 25","State Representative District 6 Seat B","Kathy Dawes","0","0.00%"
"Linden 25","State Representative District 6 Seat B","Brandon Mitchell","3","0.00%"
"Linden 25","County Commissioner District 1","Mark Thorne","0","0.00%"
"Linden 25","County Commissioner District 1","Tony Johnson","3","0.00%"
"Linden 25","County Commissioner District 3","John Bohman","0","0.00%"
"Linden 25","County Commissioner District 3","Jason Stooks","3","0.00%"
"Linden 25","County Sheriff","Richie Skiles","1","0.00%"
"Linden 25","County Sheriff","James Fry Jr.","2","0.00%"
"Linden 25","County Sheriff","Christopher Middleton","0","0.00%"
"Linden 25","County Prosecuting Attorney","W.W. Bill Thompson","1","0.00%"
"Linden 25","Retain Magistrate Judge Megan Marshall","YES","3","0.00%"
"Linden 25","Retain Magistrate Judge Megan Marshall","NO","0","0.00%"
"Linden 25","Latah Soil & Water Dist Supervisors","Kyle N. Hawley","2","0.00%"
"Linden 25","Latah Soil & Water Dist Supervisors","David Huggins","3","0.00%"
"Linden 25","Latah Soil & Water Dist Supervisors","Kendall Kahl","2","0.00%"
"Linden 25","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","2","0.00%"
"Linden 25","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","1","0.00%"
"Linden 25","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","0","0.00%"
"Linden 25","Proposition 1","NO, make no change to the current primary and general election voting system.","3","0.00%"
"Linden 25","Kendrick Jt Sd No. 283 School District Levy (Combine Results with Nez Perce and Clearwater County)","IN FAVOR OF","0","0.00%"
"Linden 25","Kendrick Jt Sd No. 283 School District Levy (Combine Results with Nez Perce and Clearwater County)","AGAINST","2","0.00%"
"Moscow 1","United States President","Joel Skousen","0","0.00%"
"Moscow 1","United States President","Kamala D. Harris","82","0.00%"
"Moscow 1","United States President","Chase Oliver","0","0.00%"
"Moscow 1","United States President","Donald J. Trump","124","0.00%"
"Moscow 1","United States President","Shiva Ayyadurai","0","0.00%"
"Moscow 1","United States President","Claudia De la Cruz","3","0.00%"
"Moscow 1","United States President","Robert F Kennedy Jr.","3","0.00%"
"Moscow 1","United States President","Jill Stein","6","0.00%"
"Moscow 1","United States President","Randall Terry","0","0.00%"
"Moscow 1","United States Representative District 1","Brendan J. Gomez","6","0.00%"
"Moscow 1","United States Representative District 1","Kaylee Peterson","84","0.00%"
"Moscow 1","United States Representative District 1","Matt Loesby","3","0.00%"
"Moscow 1","United States Representative District 1","Russ Fulcher","115","0.00%"
"Moscow 1","State Senator District 6","Julia Parker","95","0.00%"
"Moscow 1","State Senator District 6","Dan Foreman","113","0.00%"
"Moscow 1","State Representative District 6 Seat A","Trish Carter-Goodheart","69","0.00%"
"Moscow 1","State Representative District 6 Seat A","Lori McCann","136","0.00%"
"Moscow 1","State Representative District 6 Seat B","Kathy Dawes","91","0.00%"
"Moscow 1","State Representative District 6 Seat B","Brandon Mitchell","116","0.00%"
"Moscow 1","County Commissioner District 1","Mark Thorne","72","0.00%"
"Moscow 1","County Commissioner District 1","Tony Johnson","135","0.00%"
"Moscow 1","County Commissioner District 3","John Bohman","84","0.00%"
"Moscow 1","County Commissioner District 3","Jason Stooks","120","0.00%"
"Moscow 1","County Sheriff","Richie Skiles","107","0.00%"
"Moscow 1","County Sheriff","James Fry Jr.","82","0.00%"
"Moscow 1","County Sheriff","Christopher Middleton","14","0.00%"
"Moscow 1","County Prosecuting Attorney","W.W. Bill Thompson","172","0.00%"
"Moscow 1","Retain Magistrate Judge Megan Marshall","YES","154","0.00%"
