"docketentry_id","docketentry_entry_number","docketentry_date_filed","docketentry_time_filed","docketentry_pacer_sequence_number","docketentry_recap_sequence_number","docketentry_description","recapdocument_id","recapdocument_document_type","recapdocument_description","recapdocument_acms_document_guid","recapdocument_date_upload","recapdocument_document_number","recapdocument_attachment_number","recapdocument_pacer_doc_id","recapdocument_is_free_on_pacer","recapdocument_is_available","recapdocument_is_sealed","recapdocument_sha1","recapdocument_page_count","recapdocument_file_size","recapdocument_filepath_local","recapdocument_filepath_ia","recapdocument_ocr_status"
"417092777","24","2025-02-20","","146","2025-02-20.001","NOTICE of Appearance by Victor S Villegas on behalf of The Eagle Public Library Board of Trustees (Villegas, Victor)","430845405","PACER Document","","","","24","","06303018321","","","","","","","","",""
"417092778","25","2025-02-20","","149","2025-02-20.002","NOTICE of Availability of Magistrate Judge and Requirement for Consent sent to counsel for Olivia Lanzara, David Levithan, Malinda Lo, MacMillan Publishing Group, LLC, Christie Nichols, Penguin Random House LLC, Simon & Schuster, LLC, Dashka Slater, Sourcebooks, LLC, The Authors Guild, The Donnelly Public Library District, The Eagle Public Library Board of Trustees re 24 Notice of Appearance, 1 Complaint Consent/Objection to Magistrate due by 3/24/2025. (lm)","430845406","PACER Document","","","","25","","06303018442","","","","","","","","",""
"419566099","26","2025-02-20","","153","2025-02-20.003","NOTICE by Penguin Random House LLC re 22 MOTION for Preliminary Injunction Certificate of Service (Ferguson, Deborah)","433494130","PACER Document","","","","26","","06303018648","","","","","","","","",""
"417671541","27","2025-02-26","15:39:10","156","2025-02-26.001","MOTION to Dismiss for Lack of Jurisdiction Dayton Patrick Reed appearing for Defendant Jan Bennetts. Responses due by 3/19/2025 (Attachments: # 1 Memorandum in Support)(Reed, Dayton)","431441662","PACER Document","Dismiss/Lack of Jurisdiction","","2025-02-27 20:49:44.289768+00:00","27","","06303021372","","True","","662751e16b6a9cae0d5a3e4fed8863b19484bfd1","3","288810","https://storage.courtlistener.com/recap/gov.uscourts.idd.56244/gov.uscourts.idd.56244.27.0.pdf","https://archive.org/download/gov.uscourts.idd.56244/gov.uscourts.idd.56244.27.0.pdf","OCR Not Necessary"
"417671541","27","2025-02-26","15:39:10","156","2025-02-26.001","MOTION to Dismiss for Lack of Jurisdiction Dayton Patrick Reed appearing for Defendant Jan Bennetts. Responses due by 3/19/2025 (Attachments: # 1 Memorandum in Support)(Reed, Dayton)","431490990","Attachment","Memorandum in Support","","2025-02-27 20:49:44.751785+00:00","27","1","06303021373","","True","","f86ee141fc3ec9a97587c8cf42277a35ad8b7ba0","17","526710","https://storage.courtlistener.com/recap/gov.uscourts.idd.56244/gov.uscourts.idd.56244.27.1.pdf","https://archive.org/download/gov.uscourts.idd.56244/gov.uscourts.idd.56244.27.1.pdf","OCR Not Necessary"
"419566100","28","2025-02-26","","159","2025-02-26.002","NOTICE of Appearance by Brian James Oakey on behalf of Brian Naugle (Oakey, Brian)","433494131","PACER Document","","","","28","","06303021420","","","","","","","","",""
"417671539","29","2025-02-26","16:06:45","162","2025-02-26.003","First MOTION to Dismiss Brian James Oakey appearing for Defendant Brian Naugle. Responses due by 3/19/2025 (Oakey, Brian)","431441660","PACER Document","Dismiss","","2025-02-27 15:13:22.055946+00:00","29","","06303021423","","True","","4472ed760592afec1d20d14e41ef371bdd530064","3","208433","https://storage.courtlistener.com/recap/gov.uscourts.idd.56244/gov.uscourts.idd.56244.29.0.pdf","https://archive.org/download/gov.uscourts.idd.56244/gov.uscourts.idd.56244.29.0.pdf","OCR Complete"
"419566101","30","2025-02-26","","164","2025-02-26.004","MEMORANDUM/BRIEF re 29 First MOTION to Dismiss filed by Brian Naugle . (Oakey, Brian)","433494132","PACER Document","","","2025-03-18 05:40:29.737194+00:00","30","","06303021428","","True","","ab6ec180b74811512a30f741a0ff6bafea951920","8","877438","https://storage.courtlistener.com/recap/gov.uscourts.idd.56244/gov.uscourts.idd.56244.30.0.pdf","https://archive.org/download/gov.uscourts.idd.56244/gov.uscourts.idd.56244.30.0.pdf","OCR Complete"
"417671536","31","2025-02-26","16:16:05","167","2025-02-26.005","First Motion to Dismiss for Failure to State a Claim Victor S Villegas appearing for Defendant The Eagle Public Library Board of Trustees. Responses due by 3/19/2025 (Attachments: # 1 Memorandum in Support Def's Motion to Dismiss)(Villegas, Victor)","431441657","PACER Document","Dismiss for Failure to State a Claim","","2025-02-27 15:15:05.160601+00:00","31","","06303021431","","True","","f6f1d37f5254395c0e150dc9703938daae7b47e1","3","160063","https://storage.courtlistener.com/recap/gov.uscourts.idd.56244/gov.uscourts.idd.56244.31.0.pdf","https://archive.org/download/gov.uscourts.idd.56244/gov.uscourts.idd.56244.31.0.pdf","OCR Not Necessary"
"417671536","31","2025-02-26","16:16:05","167","2025-02-26.005","First Motion to Dismiss for Failure to State a Claim Victor S Villegas appearing for Defendant The Eagle Public Library Board of Trustees. Responses due by 3/19/2025 (Attachments: # 1 Memorandum in Support Def's Motion to Dismiss)(Villegas, Victor)","431491061","Attachment","Memorandum in Support Def's Motion to Dismiss","","2025-02-27 15:15:05.595008+00:00","31","1","06303021432","","True","","ea93e5666c26475d5fe532f7e2ed43e7231a0569","6","187602","https://storage.courtlistener.com/recap/gov.uscourts.idd.56244/gov.uscourts.idd.56244.31.1.pdf","https://archive.org/download/gov.uscourts.idd.56244/gov.uscourts.idd.56244.31.1.pdf","OCR Not Necessary"
