UNOFFICIAL ELECTION RESULTS
ADA
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"1003 - SF","College of Western Idaho Zone 3","Jim Reames","826","87.64%"
"1003 - SF","College of Western Idaho Zone 4","Gary L Smith","810","87.64%"
"1003 - SF","College of Western Idaho Zone 5","Cherie Buckner-Webb","771","87.64%"
"1003 - SF","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","1202","87.64%"
"1003 - SF","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","439","87.64%"
"1003 - SF","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","278","87.64%"
"1003 - SF","Proposition 1","NO, make no change to the current primary and general election voting system.","1389","87.64%"
"1003 - SF","Star Fire Protection District Levy (Combine Results with Canyon County)","IN FAVOR OF authorizing the levy increase in the amount of $2,225,000.","787","87.64%"
"1003 - SF","Star Fire Protection District Levy (Combine Results with Canyon County)","AGAINST authorizing the levy increase in the amount of $2,225,000.","801","87.64%"
"1004 - SF","United States President","Joel Skousen","2","85.79%"
"1004 - SF","United States President","Kamala D. Harris","271","85.79%"
"1004 - SF","United States President","Chase Oliver","11","85.79%"
"1004 - SF","United States President","Donald J. Trump","1191","85.79%"
"1004 - SF","United States President","Claudia De la Cruz","4","85.79%"
"1004 - SF","United States President","Shiva Ayyadurai","2","85.79%"
"1004 - SF","United States President","Randall Terry","3","85.79%"
"1004 - SF","United States President","Jill Stein","5","85.79%"
"1004 - SF","United States President","Robert F Kennedy Jr.","17","85.79%"
"1004 - SF","United States President","Brian Larry Kienitz","0","85.79%"
"1004 - SF","United States President","Peter Sonski","0","85.79%"
"1004 - SF","United States President","Unassigned write-ins","15","85.79%"
"1004 - SF","United States Representative District 1","Brendan J. Gomez","21","85.79%"
"1004 - SF","United States Representative District 1","Kaylee Peterson","278","85.79%"
"1004 - SF","United States Representative District 1","Matt Loesby","33","85.79%"
"1004 - SF","United States Representative District 1","Russ Fulcher","1121","85.79%"
"1004 - SF","United States Representative District 1","David D Bot","0","85.79%"
"1004 - SF","United States Representative District 1","Margot Dupre","0","85.79%"
"1004 - SF","United States Representative District 1","Unassigned write-ins","2","85.79%"
"1004 - SF","State Senator District 10","Letishia Silva","269","85.79%"
"1004 - SF","State Senator District 10","Tammy Nichols","1186","85.79%"
"1004 - SF","State Representative District 10 Seat A","Nancy Parker","266","85.79%"
"1004 - SF","State Representative District 10 Seat A","Mike Moyle","1191","85.79%"
"1004 - SF","State Representative District 10 Seat B","Shana Tremaine","257","85.79%"
"1004 - SF","State Representative District 10 Seat B","Bruce D. Skaug","1178","85.79%"
"1004 - SF","County Commissioner District 1","Jonathan Lashley","255","85.79%"
"1004 - SF","County Commissioner District 1","Ryan Davidson","1169","85.79%"
"1004 - SF","County Commissioner District 3","Devin Gutierrez","257","85.79%"
"1004 - SF","County Commissioner District 3","Tom Dayley","1160","85.79%"
"1004 - SF","County Sheriff","Doug Traubel","402","85.79%"
"1004 - SF","County Sheriff","Matthew Clifford","998","85.79%"
"1004 - SF","County Prosecuting Attorney","Johnathan Baldauf","254","85.79%"
"1004 - SF","County Prosecuting Attorney","Jan Bennetts","1161","85.79%"
"1004 - SF","Retain Magistrate Judge Ransom Bailey","YES","719","85.79%"
"1004 - SF","Retain Magistrate Judge Ransom Bailey","NO","269","85.79%"
"1004 - SF","Retain Magistrate Judge Susan Clark","YES","723","85.79%"
"1004 - SF","Retain Magistrate Judge Susan Clark","NO","269","85.79%"
"1004 - SF","Retain Magistrate Judge Danica Comstock","YES","685","85.79%"
"1004 - SF","Retain Magistrate Judge Danica Comstock","NO","260","85.79%"
"1004 - SF","Retain Magistrate Judge Kira L. Dale","YES","664","85.79%"
"1004 - SF","Retain Magistrate Judge Kira L. Dale","NO","268","85.79%"
"1004 - SF","Retain Magistrate Judge Michael Dean","YES","671","85.79%"
"1004 - SF","Retain Magistrate Judge Michael Dean","NO","254","85.79%"
"1004 - SF","Retain Magistrate Judge Andrew Ellis","YES","664","85.79%"
"1004 - SF","Retain Magistrate Judge Andrew Ellis","NO","252","85.79%"
"1004 - SF","Retain Magistrate Judge Laurie A. Fortier","YES","648","85.79%"
"1004 - SF","Retain Magistrate Judge Laurie A. Fortier","NO","280","85.79%"
"1004 - SF","Retain Magistrate Judge Theresa Gardunia","YES","638","85.79%"
"1004 - SF","Retain Magistrate Judge Theresa Gardunia","NO","275","85.79%"
"1004 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","YES","655","85.79%"
"1004 - SF","Retain Magistrate Judge Cathleen MacGregor Irby","NO","262","85.79%"
"1004 - SF","Retain Magistrate Judge Regan C. Jameson","YES","666","85.79%"
"1004 - SF","Retain Magistrate Judge Regan C. Jameson","NO","244","85.79%"
"1004 - SF","Retain Magistrate Judge Joanne Kibodeaux","YES","654","85.79%"
"1004 - SF","Retain Magistrate Judge Joanne Kibodeaux","NO","256","85.79%"
"1004 - SF","Retain Magistrate Judge David D. Manweiler","YES","649","85.79%"
"1004 - SF","Retain Magistrate Judge David D. Manweiler","NO","262","85.79%"
"1004 - SF","Retain Magistrate Judge Michael McLennan","YES","655","85.79%"
"1004 - SF","Retain Magistrate Judge Michael McLennan","NO","245","85.79%"
"1004 - SF","Retain Magistrate Judge Kyle Schou","YES","644","85.79%"
"1004 - SF","Retain Magistrate Judge Kyle Schou","NO","262","85.79%"
"1004 - SF","Retain Magistrate Judge Diane M Walker","YES","643","85.79%"
"1004 - SF","Retain Magistrate Judge Diane M Walker","NO","267","85.79%"
"1004 - SF","Retain Magistrate Judge Abraham E. Wingrove","YES","643","85.79%"
"1004 - SF","Retain Magistrate Judge Abraham E. Wingrove","NO","255","85.79%"
"1004 - SF","College of Western Idaho Zone 1","Nicole A Bradshaw","673","85.79%"
"1004 - SF","College of Western Idaho Zone 3","Jim Reames","647","85.79%"
"1004 - SF","College of Western Idaho Zone 4","Gary L Smith","636","85.79%"
"1004 - SF","College of Western Idaho Zone 5","Cherie Buckner-Webb","633","85.79%"
"1004 - SF","Idaho Constitutional Amendment","YES, approve the proposed Constitutional Amendment for additional language providing that only United States citizens may vote in elections in the State of Idaho.","1051","85.79%"
"1004 - SF","Idaho Constitutional Amendment","NO, make no change to the Idaho Constitution.","427","85.79%"
"1004 - SF","Proposition 1","YES, replace Idaho's primary election with a single top-four primary and change Idaho's general election to a ranked-choice voting system.","251","85.79%"
"1004 - SF","Proposition 1","NO, make no change to the current primary and general election voting system.","1254","85.79%"
"1004 - SF","Star Fire Protection District Levy (Combine Results with Canyon County)","IN FAVOR OF authorizing the levy increase in the amount of $2,225,000.","720","85.79%"
"1004 - SF","Star Fire Protection District Levy (Combine Results with Canyon County)","AGAINST authorizing the levy increase in the amount of $2,225,000.","712","85.79%"
"1005 - SF","United States President","Joel Skousen","1","86.71%"
"1005 - SF","United States President","Kamala D. Harris","366","86.71%"
"1005 - SF","United States President","Chase Oliver","5","86.71%"
"1005 - SF","United States President","Donald J. Trump","1226","86.71%"
"1005 - SF","United States President","Claudia De la Cruz","1","86.71%"
"1005 - SF","United States President","Shiva Ayyadurai","0","86.71%"
"1005 - SF","United States President","Randall Terry","5","86.71%"
"1005 - SF","United States President","Jill Stein","3","86.71%"
"1005 - SF","United States President","Robert F Kennedy Jr.","22","86.71%"
"1005 - SF","United States President","Brian Larry Kienitz","0","86.71%"
"1005 - SF","United States President","Peter Sonski","0","86.71%"
"1005 - SF","United States President","Unassigned write-ins","10","86.71%"
"1005 - SF","United States Representative District 1","Brendan J. Gomez","24","86.71%"
"1005 - SF","United States Representative District 1","Kaylee Peterson","326","86.71%"
"1005 - SF","United States Representative District 1","Matt Loesby","21","86.71%"
"1005 - SF","United States Representative District 1","Russ Fulcher","1213","86.71%"
"1005 - SF","United States Representative District 1","David D Bot","0","86.71%"
"1005 - SF","United States Representative District 1","Margot Dupre","0","86.71%"
"1005 - SF","United States Representative District 1","Unassigned write-ins","0","86.71%"
"1005 - SF","State Senator District 10","Letishia Silva","323","86.71%"
"1005 - SF","State Senator District 10","Tammy Nichols","1242","86.71%"
"1005 - SF","State Representative District 10 Seat A","Nancy Parker","336","86.71%"
"1005 - SF","State Representative District 10 Seat A","Mike Moyle","1240","86.71%"
"1005 - SF","State Representative District 10 Seat B","Shana Tremaine","322","86.71%"
"1005 - SF","State Representative District 10 Seat B","Bruce D. Skaug","1229","86.71%"
"1005 - SF","County Commissioner District 1","Jonathan Lashley","311","86.71%"
