Budget,Program,Bill,Status,Description
<b>Reduction</b>,<i>General Government</i><br>Dept. of Administration<br><b>Capitol Commission</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>General Government</i><br>Dept. of Administration<br><b>Permanent Building Fund</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>General Government</i><br>Dept. of Revenue & Taxation<br><b>Board of Tax Appeals</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>General Government</i><br>Dept. of Revenue & Taxation<br><b>State Tax Commission</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>We focused on one-time cuts to ensure as much
continuity in operations as possible during our busiest
time of year: tax season. What I can tell you is that a
reduction in our tax season temporary workforce will
reduce processing times and increase the likelihood
we’ll have to pay interest on delayed refunds. The
majority of FY2026 funds are committed. As you are
aware, just over 82% of our budget comes from the
General Fund and the remainder comes from statutorily
authorized tax collection activities. Excluding
personnel costs, approximately 90% of those dollars are
spent or encumbered at the beginning of each fiscal
year on fixed costs."
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Commission for the Blind & Visually Impaired</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>Core client services will remain intact for FY26.
Potential impacts include delays to the budgeted OITS equipment refresh."
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Commission on Aging</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Commission on the Arts</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>For both FY 2026 and FY 2027, our agency would meet any
required reversions through reductions in personnel
costs. In FY 2026, these reductions would be absorbed
through salary savings associated with positions that
were unfilled at the start of the fiscal year."
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Div. of Financial Management</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>DFM has very tight operating and personnel budgets due
to the reductions we have already made in the current
year. The only option for savings in the current fiscal
year would likely require furloughs due to our existing
operating expenditure commitments."
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Div. of Human Resources</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
<b>Reduction</b>,<i>General Government</i><br>Office of the Governor<br><b>Military Division</b>,☐,—,"<b></b>2/6: 4% FY 26 holdback
<br>Governor's 3% + JFAC's 1%
<br><i><b></b>FY 26 Additional 1% plan detail:
<br></i>"
